alpha1,E,var(E),
0.75,-0.4688940160332402,0.0001449592470596044,-0.25076464670365123,
0.8753823233518256,-0.4922858461389885,9.56037394160467e-05,-0.12500342728704578,
0.9378840369953485,-0.4980529445699917,4.43564854696548e-05,-0.06214649993006861,
0.9689572869603829,-0.4995525678896486,2.2707895526633448e-05,-0.031124112182802362,
0.984519343051784,-0.4998692210473369,1.1573183942013518e-05,-0.015484105080846997,
0.9922613955922075,-0.4999685995401447,5.785231751130121e-06,-0.007742271870154481,
0.9961325315272848,-0.4999932653575825,2.790705835564217e-06,-0.0038665450210512123,
0.9980658040378103,-0.49999733244965405,1.5674340434022373e-06,-0.0019375835732432403,
0.9990345958244319,-0.4999985464327556,7.143403119966568e-07,-0.0009633330152255446,
0.9995162623320446,-0.5000002542979524,3.544051879275477e-07,-0.00048449313922129146,
0.9997585089016553,-0.49999954003270236,1.783140197277336e-07,-0.00024087700362463007,
0.9998789474034676,-0.5000002107256847,8.766251993604982e-08,-0.0001214562946762405,
